Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-TH_BD9.0-P4.00-D0.6-FD,1,QMB-09B-03,
"C1, C2",CAP-TH_BD5.0-P2.00-D0.5-FD-1,2,10uF,
CN1,CONN-SMD_2P-P4.00_HDGC4001SMD-S-2P,1,BAT_CLAMP,
CN2,CONN-TH_XH-4A,1,GPS,
CN3,CONN-TH_XH-4A,1,LoRa,
CN4,CONN-TH_XH-4A,1,BME280,
CN5,CONN-TH_XH-4A,1,MPU6500,
CN6,CONN-TH_XH-4A,1,OLED,
CN7,CONN-TH_XH-4A,1,EXTRA,
L1,IND-TH_BD7.0-P2.50-D0.7,1,PK0608-100MB,
P1,HDR-TH_8P-P2.54-V-F-1,1,ESP_L,
P2,HDR-TH_8P-P2.54-V-F-1,1,ESP_R,
SW1,SW-TH_SK12D07VG3,1,PWR,
SW2,SW-SMD_L6.0-W3.3-LS8.0,1,FLASH,
U1,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,1,TPS61222,
U2,HDR-TH_6P-P2.54-V-F,1,USB-TTL,
